pair_ID	relatedness_score	entailment_judgment
6	2.29587	NEUTRAL
7	3.63451	NEUTRAL
8	3.51678	NEUTRAL
10	4.71581	ENTAILMENT
11	4.67211	ENTAILMENT
13	3.89101	CONTRADICTION
15	3.14936	NEUTRAL
16	3.22853	NEUTRAL
17	3.23108	NEUTRAL
19	4.71022	ENTAILMENT
20	4.11162	CONTRADICTION
21	3.96305	ENTAILMENT
22	4.69721	ENTAILMENT
23	3.96119	CONTRADICTION
27	3.3948	NEUTRAL
29	4.19568	NEUTRAL
31	3.34543	CONTRADICTION
32	4.72449	ENTAILMENT
33	4.31891	NEUTRAL
34	3.8337	CONTRADICTION
36	3.36458	NEUTRAL
37	4.6083	NEUTRAL
38	3.01286	NEUTRAL
39	4.50112	NEUTRAL
41	4.53909	ENTAILMENT
43	4.45065	CONTRADICTION
46	4.20889	NEUTRAL
48	3.99499	NEUTRAL
50	3.67225	NEUTRAL
51	4.15591	NEUTRAL
52	4.74413	ENTAILMENT
53	4.16801	NEUTRAL
54	3.99152	NEUTRAL
57	4.0545	NEUTRAL
59	4.13697	NEUTRAL
60	3.64698	NEUTRAL
61	3.9057	NEUTRAL
63	4.54071	ENTAILMENT
64	3.50084	CONTRADICTION
66	4.087	NEUTRAL
67	4.13649	CONTRADICTION
68	3.93226	NEUTRAL
69	4.01248	CONTRADICTION
71	3.60024	CONTRADICTION
74	4.75446	ENTAILMENT
75	4.1071	NEUTRAL
76	4.4872	ENTAILMENT
80	2.19795	NEUTRAL
86	2.08153	NEUTRAL
89	4.34991	ENTAILMENT
92	1.34619	NEUTRAL
95	1.35252	NEUTRAL
96	1.41699	NEUTRAL
101	4.67121	ENTAILMENT
102	3.71135	ENTAILMENT
103	3.11204	ENTAILMENT
104	3.81422	NEUTRAL
106	3.97672	NEUTRAL
108	3.97715	NEUTRAL
109	3.30163	ENTAILMENT
110	4.62051	ENTAILMENT
111	4.47205	ENTAILMENT
114	3.86493	NEUTRAL
115	2.71278	NEUTRAL
118	4.64855	ENTAILMENT
121	4.47934	ENTAILMENT
123	2.61475	NEUTRAL
125	2.60783	NEUTRAL
128	2.52778	NEUTRAL
132	2.95741	CONTRADICTION
134	3.51076	NEUTRAL
135	2.52376	NEUTRAL
137	3.85694	NEUTRAL
138	3.16219	NEUTRAL
142	4.35468	ENTAILMENT
143	3.68967	CONTRADICTION
144	4.31517	ENTAILMENT
145	2.69459	CONTRADICTION
147	2.63721	NEUTRAL
149	4.20533	ENTAILMENT
151	4.63274	ENTAILMENT
152	3.4577	CONTRADICTION
153	4.496	ENTAILMENT
154	3.65439	CONTRADICTION
155	3.98441	ENTAILMENT
156	3.75153	CONTRADICTION
157	4.67343	ENTAILMENT
158	4.4238	ENTAILMENT
160	4.44881	ENTAILMENT
162	4.08677	NEUTRAL
165	3.84101	NEUTRAL
166	3.80818	ENTAILMENT
167	4.19225	ENTAILMENT
168	3.85315	CONTRADICTION
169	4.50496	ENTAILMENT
171	4.07265	NEUTRAL
172	3.61092	ENTAILMENT
174	3.92161	ENTAILMENT
175	3.59173	NEUTRAL
177	3.60629	ENTAILMENT
178	4.19931	ENTAILMENT
179	3.27234	NEUTRAL
180	3.36373	NEUTRAL
181	4.19747	ENTAILMENT
182	4.10299	NEUTRAL
187	2.88755	NEUTRAL
189	2.18704	NEUTRAL
190	3.09059	NEUTRAL
191	4.43246	ENTAILMENT
193	4.3287	ENTAILMENT
195	3.057	NEUTRAL
196	3.60676	CONTRADICTION
198	3.02227	CONTRADICTION
199	3.79254	NEUTRAL
203	3.90512	CONTRADICTION
204	3.7312	NEUTRAL
206	3.87772	NEUTRAL
207	3.11485	NEUTRAL
208	3.91426	NEUTRAL
209	4.2726	ENTAILMENT
210	3.70648	NEUTRAL
212	3.93804	NEUTRAL
213	3.0545	NEUTRAL
214	3.12248	NEUTRAL
220	4.46907	CONTRADICTION
221	4.43644	CONTRADICTION
222	3.82949	ENTAILMENT
229	4.69541	ENTAILMENT
230	3.84412	CONTRADICTION
231	4.6729	ENTAILMENT
235	2.56109	NEUTRAL
239	2.25593	NEUTRAL
242	3.97288	NEUTRAL
243	3.96884	ENTAILMENT
244	3.6036	CONTRADICTION
245	4.24088	NEUTRAL
246	3.75685	NEUTRAL
247	3.12589	NEUTRAL
250	3.02934	NEUTRAL
251	2.97599	ENTAILMENT
252	3.23633	ENTAILMENT
255	4.4954	ENTAILMENT
261	2.68901	NEUTRAL
262	4.37066	ENTAILMENT
263	4.29822	ENTAILMENT
264	4.31578	ENTAILMENT
267	4.16372	NEUTRAL
268	3.29665	NEUTRAL
270	3.23553	NEUTRAL
271	4.20788	NEUTRAL
274	4.34474	ENTAILMENT
275	4.47808	NEUTRAL
278	3.72004	NEUTRAL
281	3.29967	NEUTRAL
282	4.73677	ENTAILMENT
284	3.64389	NEUTRAL
288	4.09236	NEUTRAL
290	4.01168	NEUTRAL
292	3.55934	NEUTRAL
294	4.56564	ENTAILMENT
295	2.83091	NEUTRAL
297	2.42213	NEUTRAL
298	2.97328	NEUTRAL
299	2.52593	NEUTRAL
300	4.57189	ENTAILMENT
306	4.40148	NEUTRAL
307	4.40517	NEUTRAL
308	2.63014	NEUTRAL
314	4.21291	CONTRADICTION
316	2.31553	NEUTRAL
318	2.78481	ENTAILMENT
319	2.67082	NEUTRAL
320	1.77201	NEUTRAL
321	2.25672	NEUTRAL
322	4.53733	ENTAILMENT
324	4.32779	ENTAILMENT
325	3.16526	CONTRADICTION
326	1.45361	NEUTRAL
328	1.52797	NEUTRAL
330	1.46808	NEUTRAL
334	4.24696	ENTAILMENT
336	3.98915	ENTAILMENT
337	3.86331	ENTAILMENT
343	3.91433	NEUTRAL
345	2.86315	NEUTRAL
348	2.44466	NEUTRAL
349	2.41328	NEUTRAL
350	2.58052	NEUTRAL
352	3.91068	CONTRADICTION
353	4.34595	ENTAILMENT
355	3.68821	CONTRADICTION
356	4.00957	NEUTRAL
357	3.49573	CONTRADICTION
359	3.48324	CONTRADICTION
364	4.69414	ENTAILMENT
365	4.09316	CONTRADICTION
368	4.52918	NEUTRAL
369	3.67568	CONTRADICTION
371	4.7147	CONTRADICTION
376	2.56121	NEUTRAL
383	3.55978	NEUTRAL
385	4.25087	NEUTRAL
386	4.29871	NEUTRAL
388	4.49832	NEUTRAL
389	3.50894	NEUTRAL
399	3.02918	NEUTRAL
400	3.48026	NEUTRAL
401	3.16928	NEUTRAL
405	2.78021	NEUTRAL
406	3.4352	ENTAILMENT
407	1.87342	NEUTRAL
408	4.17901	ENTAILMENT
411	4.21799	ENTAILMENT
412	3.55237	NEUTRAL
414	3.82313	NEUTRAL
416	3.10735	NEUTRAL
418	3.72916	NEUTRAL
419	3.73543	NEUTRAL
420	2.63211	NEUTRAL
421	3.84268	NEUTRAL
424	4.60881	ENTAILMENT
425	3.63885	CONTRADICTION
426	4.33881	CONTRADICTION
429	4.23676	NEUTRAL
430	4.16439	NEUTRAL
431	3.44066	NEUTRAL
432	4.47537	NEUTRAL
433	4.18441	ENTAILMENT
437	3.54162	NEUTRAL
443	4.05952	ENTAILMENT
444	3.6465	NEUTRAL
445	4.23779	NEUTRAL
448	2.91412	NEUTRAL
452	3.97898	NEUTRAL
453	3.77343	ENTAILMENT
455	4.20866	ENTAILMENT
456	3.53067	CONTRADICTION
458	2.48605	CONTRADICTION
459	2.61277	NEUTRAL
460	2.57885	NEUTRAL
463	3.90223	CONTRADICTION
464	4.49883	ENTAILMENT
466	4.16949	CONTRADICTION
467	3.61088	NEUTRAL
468	3.36189	NEUTRAL
469	4.596	ENTAILMENT
471	3.8178	NEUTRAL
472	3.94408	NEUTRAL
474	4.03098	CONTRADICTION
478	2.34564	NEUTRAL
479	3.19657	NEUTRAL
480	2.96462	NEUTRAL
481	3.3838	ENTAILMENT
482	4.64837	ENTAILMENT
483	3.08894	NEUTRAL
487	3.06284	NEUTRAL
488	3.79513	NEUTRAL
490	3.86787	NEUTRAL
492	3.47999	CONTRADICTION
493	3.41037	NEUTRAL
495	3.72346	ENTAILMENT
498	3.71999	NEUTRAL
501	3.13403	NEUTRAL
502	4.46174	ENTAILMENT
503	3.62627	CONTRADICTION
504	2.9598	NEUTRAL
509	3.32089	NEUTRAL
510	3.48711	NEUTRAL
511	3.96878	ENTAILMENT
512	2.63909	NEUTRAL
517	3.64268	NEUTRAL
518	4.69875	ENTAILMENT
519	4.4194	CONTRADICTION
521	3.04567	NEUTRAL
523	2.36141	NEUTRAL
525	2.47397	NEUTRAL
532	3.92119	CONTRADICTION
533	3.8315	NEUTRAL
534	4.38111	ENTAILMENT
536	2.85322	NEUTRAL
537	4.16372	ENTAILMENT
539	2.53117	NEUTRAL
540	3.73491	NEUTRAL
543	3.53586	NEUTRAL
544	4.58758	ENTAILMENT
546	3.9091	NEUTRAL
547	2.76352	NEUTRAL
549	3.03697	NEUTRAL
553	2.73197	NEUTRAL
554	4.75886	ENTAILMENT
558	4.49014	ENTAILMENT
559	3.39703	ENTAILMENT
562	3.37389	NEUTRAL
563	4.26322	ENTAILMENT
566	4.27493	NEUTRAL
567	4.46006	NEUTRAL
569	3.49238	NEUTRAL
571	4.03419	CONTRADICTION
572	3.68329	NEUTRAL
573	3.48833	NEUTRAL
574	3.34151	NEUTRAL
575	2.79611	NEUTRAL
576	3.68657	NEUTRAL
577	3.78216	NEUTRAL
578	3.83852	NEUTRAL
579	3.74523	NEUTRAL
580	4.67808	ENTAILMENT
582	4.09297	NEUTRAL
583	4.62355	ENTAILMENT
584	4.21492	ENTAILMENT
